sentence,label
"Codziennie rano ojciec je płatki śniadanowe, ale wieczorem stek.","Codziennie rano ojciec je płatki śniadanowe, ale wieczorem ___ stek."
"Granica Finlandii z Rosją jest długa, __ z Norwegią _ krótka, a __ ze Szwecją _ średniej długości.","Granica Finlandii z Rosją jest długa, a z Norwegią ___ krótka, a ze Szwecją ___ średniej długości."
"Jerzy mieszka w Łodzi, a Mateusz w Warszawie.","Jerzy mieszka w Łodzi, a Mateusz ___ w Warszawie."
"One zapytały mnie, czy chcę pojechać nad jezioro, ale nie miałem czasu.","One zapytały mnie, czy chcę pojechać nad jezioro, ale nie miałem czasu."
"Kasia gra na klarnecie, a Nina na pianinie.","Kasia gra na klarnecie, a Nina ___ na pianinie."
"Ja przyprawię zupę papryką, a ty pieprzem.","Ja przyprawię zupę papryką, a ty ___ pieprzem."
"On zawsze zamawia zimne dania, a ona gorące.","On zawsze zamawia zimne dania, a ona ___ gorące."
"Maksymowi smakuje czekolada, a Ewie słodzycze.","Maksymowi smakuje czekolada, a Ewie ___ słodzycze."
"A więc: ty idziesz do kierowca, a ja na koniec autobusa.","A więc: ty idziesz do kierowca, a ja ___ na koniec autobusa."
"Kocięta bawią się małymi zabawkami, a psięta dużymi.","Kocięta bawią się małymi zabawkami, a psięta ___ dużymi."
"On dobrze gotuje zupę z mięsem, a ona bez mięsa.","On dobrze gotuje zupę z mięsem, a ona ___ bez mięsa."
"Teraz oni mówią po ukrainsku, nie po rosyjsku.","Teraz oni mówią po ukrainsku, nie po rosyjsku."
"Oni kupili dmuchany zamek, ale nie wiadomo komu.","Oni kupili dmuchany zamek, ale nie wiadomo ___ komu."
Kocham ją i ona mnie.,Kocham ją i ona mnie.
"Tam spróbowałem pierwszy raz boczek, i też zrazy.","Tam spróbowałem pierwszy raz boczek, i też ___ zrazy."
"Tam spróbowałem pierwszy raz boczek, i ty też.","Tam spróbowałem pierwszy raz boczek, i ty też ___."
"Teraz w Ukrainie walczą z wrogami, a w Ameryce między sobą.","Teraz w Ukrainie walczą z wrogami, a w Ameryce ___ między sobą."
"My przyjechaliśmy ze swoimi kotami, a oni ze swoimi psami.","My przyjechaliśmy ze swoimi kotami, a oni ___ ze swoimi psami."
"On napisał muzykę do piosenki, a ona tekst.","On napisał muzykę do piosenki, a ona ___ tekst."
"Nie umiem tańczyć, a mój brat pływać.","Nie umiem tańczyć, a mój brat ___ pływać."
"On wątpi, że kiedyś wygra w lotto, ale mimo tego ma nadzieję.","On wątpi, że kiedyś wygra w lotto, ale mimo tego ma nadzieję."
"Mnie się podoba ta piosenka, ale nie wiem, dlaczego.","Mnie się podoba ta piosenka, ale nie wiem, dlaczego."
"Mówię po polsku, ale źle.","Mówię po polsku, ale ___ źle."
"Moja matka w zoo zawsze chce patrzyć na wydry, a ojciec na pingwiny.","Moja matka w zoo zawsze chce patrzyć na wydry, a ojciec ___ na pingwiny."
"Chciałem herbatę z Chiny, nie z Indii.","Chciałem herbatę z Chiny, nie z ___ Indii."
"W poniedziałek czytaliśmy pierwszą część noweli, i we wtorek drugą.","W poniedziałek czytaliśmy pierwszą część noweli, i we wtorek ___ drugą."
"Oficerowie noszą czapki garnizonowe, a żołnierze piechoty proste furażerki.","Oficerowie noszą czapki garnizonowe, a żołnierze piechoty ___ proste furażerki."
"Moja matka pracuje nie tylko przed południem, ale też po południu.","Moja matka pracuje nie tylko przed południem, ale też po południu."
"Bardzo chcemy podróźować po Ukrainie, ale teraz nie możemy.","Bardzo chcemy podróźować po Ukrainie, ale teraz nie możemy."
"Ja częściej piję whiskey, niż on wódkę.","Ja częściej piję whiskey, niż on ___ wódkę."
"On mówi z obcym akcentem, ale nie wiemy dlaczego.","On mówi z obcym akcentem, ale nie wiemy dlaczego."
"Mój brat myśli, że lepiej polować z łukiem, niż z karabinem.","Mój brat myśli, że lepiej polować z łukiem, niż z karabinem."
"Lidia przeprowadzi się do Krakowa, a jej brat do Warszawy.","Lidia przeprowadzi się do Krakowa, a jej brat ___ do Warszawy."
"Ja mam sprzątnąć pokój dziś, a ty _ jutro.","Ja mam sprzątnąć pokój dziś, a ty ___ jutro."
"Żukow prowadził swoją armię do Berlina z północy, a Koniew z południa.","Żukow prowadził swoją armię do Berlina z północy, a Koniew ___ z południa."
"Ona wstała i wyszła, ale jej mąż nie wiedział, dlaczego.","Ona wstała i wyszła, ale jej mąż nie wiedział, dlaczego."
"Jego zabili, ale nie wiem dlaczego.","Jego zabili, ale nie wiem ___ dlaczego."
Ojcowi.,Ojcowi.
Czy dużo?,Czy dużo?
"W dzieciństwie jadłam dużo lodów, ale teraz jako dorosła mało.","W dzieciństwie jadłam dużo lodów, ale teraz jako dorosła ___ mało."
Nienawidzę Marka i ty też.,Nienawidzę Marka i ty też ___.
"Zadałem mu trzy pytania, i tobie też.","Zadałem mu trzy pytania, i tobie też ___ trzy pytania."
"Nieznajomy dał mi prezent, ale nie wiem, dlaczego.","Nieznajomy dał mi prezent, ale nie wiem, dlaczego."
"Ona wie więcej o swoim kraju, niż on.","Ona wie więcej o swoim kraju, niż on ___."
"Nie umiem gotować tak dobrze, jak ty.","Nie umiem gotować tak dobrze, jak ty."
"Oni mogą biegać szybciej, niż ja.","Oni mogą biegać szybciej, niż ja."
"Dobrzy studenci zawsze robią pracę domową, ale źli studenci nigdy nie.","Dobrzy studenci zawsze robią pracę domową, ale źli studenci nigdy ___ nie."
"Przyjaciółka zawsze poleca mi nową muzykę, ale jeszcze słucham starej.","Przyjaciółka zawsze poleca mi nową muzykę, ale jeszcze ___ słucham starej."
"Zadałem mu trzy pytania, i ty też.","Zadałem mu trzy pytania, i ty też ___."
"Moi przyjaciele pojadą dotąd samolotem, a ja samochodem.","Moi przyjaciele pojadą dotąd samolotem, a ja ___ samochodem."
"W zoo lubię patrzyć na słonie, i siostra też.","W zoo lubię patrzyć na słonie, i siostra ___ też."
"Dziś pójdziemy do baru, ale jeszcze mi nie powiedzieli, kiedy.","Dziś pójdziemy do baru, ale jeszcze mi nie powiedzieli, kiedy."
"Nie chciałem, ale wczoraj poszliśmy do kina.","Nie chciałem, ale wczoraj poszliśmy do kina."
"On naprawił mój samochód, ale nie rozuiem jak.","On naprawił mój samochód, ale nie rozumiem ___ jak."
"Nie gotuję tak dobrze, jak ty.","Nie gotuję tak dobrze, jak ty."
"Piotr wyleciał ze studiów, ale nie wiemy dokładnie dlaczego.","Piotr wyleciał ze studiów, ale nie wiemy dokładnie dlaczego."
"Ona umarła w 1975, a jej mąż rok później w 1976.","Ona umarła w 1975, a jej mąż rok później ___ w 1976."
"Wolę słuchać jego starych piosenek, niż nowych.","Wolę słuchać jego starych piosenek, niż ___ nowych."
"Koszula jest dla mnie trochę za duża, a spodnie za małe.","Koszula jest dla mnie trochę za duża, a spodnie ___ za małe."
Co roku on przypadkowo rozbija kubek i jego matka też.,Co roku on przypadkowo rozbija kubek i jego matka ___ też.
A nie do Piotra?,A nie do Piotra?
Nienawidzę Marka i ciebie też.,Nienawidzę Marka i ___ ciebie też.
Dlaczego?,Dlaczego?
"Nie wiemy dokładnie dlaczego, ale wiemy, że Piotr wyleciał ze studiów.","Nie wiemy dokładnie dlaczego, ale wiemy, że Piotr wyleciał ze studiów."
"Czy nie możesz odpowiedzieć, czy poprostu nie chcesz?","Czy nie możesz odpowiedzieć, czy poprostu nie chcesz?"
"Wczoraj coś mi się śniło, ale nie pamiętam co.","Wczoraj coś mi się śniło, ale nie pamiętam ___ co."
"Zrobiłem jedną kanapkę wczoraj rano, i potem jeszcze jedną wieczórem.","Zrobiłem jedną kanapkę wczoraj rano, i potem jeszcze jedną wieczórem."
Moi rodzice mieszkają w Łodzi i siostra też.,Moi rodzice mieszkają w Łodzi i ___ siostra też.
Maria lubi dzwonić do Iwana a nie do Piotra.,Maria lubi dzwonić do Iwana a nie do Piotra.
"Moja matka chce nowego komputera, ale jeszcze nie wie, jakiej marki.","Moja matka chce nowego komputera, ale jeszcze nie wie, jakiej marki."
"Tam spróbowałem pierwszy raz boczek, a ty zrazy.","Tam spróbowałem pierwszy raz boczek, a ty ___ zrazy."
"Oni się śmieją, ale nie wiemy z kogo.","Oni się śmieją, ale nie wiemy ___ z kogo."
"Lepiej stracić cały dzień, niż cały tydzień.","Lepiej stracić cały dzień, niż cały tydzień."
Jan uśmiecha się i Paweł wie dlaczego.,Jan uśmiecha się i Paweł wie dlaczego.
