"W poniedziałek czytaliśmy pierwszą część noweli, i we wtorek drugą.","W poniedziałek czytaliśmy pierwszą część noweli, i we wtorek ___ drugą ___."
A nie do Piotra?,A nie ___ do Piotra?
"Dziś pójdziemy do baru, ale jeszcze mi nie powiedzieli, kiedy.","Dziś pójdziemy do baru, ale jeszcze mi nie powiedzieli, kiedy ___."
"Moi przyjaciele pojadą dotąd samolotem, a ja samochodem.","Moi przyjaciele pojadą dotąd samolotem, a ja ___ samochodem."
Ja kocham ją i ona mnie.,Ja kocham ją i ona ___ mnie.
"Chciałem piękniejszą czapkę, nie taką.","Chciałem piękniejszą czapkę, nie ___ taką ___."
"Moja matka pracuje nie tylko przed południem, ale też po południu.","Moja matka pracuje nie tylko przed południem, ale też ___ po południu."
"Mnie się podoba ta piosenka, ale nie wiem, dlaczego.","Mnie się podoba ta piosenka, ale nie wiem, dlaczego ___."
A Nina na pianinie.,A Nina ___ na pianinie.
"Nie umiem tańczyć tanga, ale chciałabym.","Nie umiem tańczyć tanga, ale chciałabym ___."
"On dobrze rozumie matemetykę, i biologię też.","On dobrze rozumie matemetykę, i ___ biologię też."
"Zadałem mu trzy pytania, i ty też.","Zadałem mu trzy pytania, i ty też ___."
"Mój brat myśli, że lepiej polować z łukiem, niż z karabinem.","Mój brat myśli, że lepiej polować z łukiem, niż ___ z karabinem."
"Kasia gra na klarnecie, a Nina na pianinie.","Kasia gra na klarnecie, a Nina ___ na pianinie."
"Maksymowi smakuje herbata, a Ewie kawa.","Maksymowi smakuje herbata, a Ewie ___ kawa."
"W zoo lubię patrzyć na słonie, i siostra też.","W zoo lubię patrzyć na słonie, i ___ siostra też ___."
"Przypadkowo zabrałem kubek, a siostra talerz.","Przypadkowo zabrałem kubek, a siostra ___ talerz."
"Moja dziewczyna zawsze chce chodzić do kina, ale ja nigdy nie chcę.","Moja dziewczyna zawsze chce chodzić do kina, ale ja nigdy nie chcę ___."
"Coś kupili na rynku, ale jeszcze nam nie powiedzieli co.","Coś kupili na rynku, ale jeszcze nam nie powiedzieli co ___."
"Bardzo chcemy podróźować po Ukrainie, ale teraz nie możemy.","Bardzo chcemy podróźować po Ukrainie, ale teraz nie możemy ___."
"Zadałem mu trzy pytania, i tobie też.","Zadałem mu trzy pytania, i ___ tobie ___ też."
"Ona go zabiła, ale czym nie wiemy.","Ona go zabiła, ale czym ___ nie wiemy."
Czy dużo?,Czy dużo ___?
"Maksymowi smakuje czekolada, a Ewie słodzycze.","Maksymowi smakuje czekolada, a Ewie ___ słodzycze."
"Ja planuję kupić samochód, a ty sprzedać.","Ja planuję kupić samochód, a ty ___ sprzedać ___."
"Teraz oni mówią po ukrainsku, nie rosyjsku.","Teraz oni mówią po ukrainsku, ___ nie ___ rosyjsku."
"Chcę pojechać za granicę, ale nie wiem, gdzie.","Chcę pojechać za granicę, ale nie wiem, gdzie ___."
"Przyprawię zupę najpierw papryką, i potem pieprzem.","Przyprawię zupę najpierw papryką, i potem ___ pieprzem."
"Oni się śmieją, ale nie wiemy z kogo.","Oni się śmieją, ale nie wiemy z kogo ___."
"Nie gotuję tak dobrze, jak ty.","Nie gotuję tak dobrze, jak ty ___."
"Grzegorz gotuje makarony, a Weronika pesto.","Grzegorz gotuje makarony, a Weronika ___ pesto."
"Ojciec zawsze narzeka, a ja nigdy nie.","Ojciec zawsze narzeka, a ja nigdy nie ___."
"Jan pisze wiersze, a Bartek powieści.","Jan pisze wiersze, a Bartek ___ powieści."
"Tam spróbowałem pierwszy raz boczek, i ty też.","Tam spróbowałem pierwszy raz boczek, i ty ___ też."
"Wszyscy nienawidzą naszego domu, ale lubią swój.","Wszyscy nienawidzą naszego domu, ale ___ lubią swój ___."
"Ja mam sprzątnąć pokój dziś, a ty _ jutro.","Ja mam sprzątnąć pokój dziś, a ty ____ jutro."
Więc jakie!?,Więc jakie ___!?
"Wolę jeść zrazy z wołowiną, a ty z wieprzowiną.","Wolę jeść zrazy z wołowiną, a ty ___ z wieprzowiną."
"Lepiej stracić cały dzień, niż cały tydzień.","Lepiej stracić cały dzień, niż ___ cały tydzień."
"Przyjaciółka zawsze poleca mi nową muzykę, ale jeszcze słucham starej.","Przyjaciółka zawsze poleca mi nową muzykę, ale jeszcze słucham starej ___."
"Moja przyjaciółka zawsze bierze prysznic wieczorem, a ja rano.","Moja przyjaciółka zawsze bierze prysznic wieczorem, a ja ___ rano."
"Oni mogą biegać szybciej, niż ja.","Oni mogą biegać szybciej, niż ja ___."
"Teraz oni mówią po ukrainsku, nie po rosyjsku.","Teraz oni mówią po ukrainsku, ___ nie ___ po rosyjsku."
"Jego zabili, ale nie wiem dlaczego.","Jego zabili, ale nie wiem dlaczego ___."
"Nie umiem gotować tak dobrze, jak ty.","Nie umiem gotować tak dobrze, jak ty ___."
"Mówię po polsku, ale źle.","Mówię po polsku, ale źle ___."
"On ma urodziny w czerwcu, i ona też.","On ma urodziny w czerwcu, i ona też ___."
Co roku on przypadkowo rozbija kubek i jego matka też.,Co roku on przypadkowo rozbija kubek i jego matka też ___.
"Demokraci głosują za nowym prawem, ale Republikanie przciew.","Demokraci głosują za nowym prawem, ale Republikanie ___ przciew ___."
"Zadałem mu trzy pytania, a jej tylko dwa.","Zadałem mu trzy pytania, a ___ jej tylko dwa ___."
"Chciałem herbatę z Chiny, nie z Indii.","Chciałem herbatę z Chiny, nie ___ z Indii."
"On ma urodziny w czerwcu, a ona w październiku.","On ma urodziny w czerwcu, a ona ___ w październiku."
"Musimy kogoś zapytać, ale nie wiemy kogo.","Musimy kogoś zapytać, ale nie wiemy kogo ___."
Ojcowi.,Ojcowi ___.
"Osoba opisuje jakieś miasto, ale to nam nie jest jasne, jakie.","Osoba opisuje jakieś miasto, ale to nam nie jest jasne, jakie ___."
"Kocięta bawią się małymi zabawkami, a psięta dużymi.","Kocięta bawią się małymi zabawkami, a psięta ___ dużymi ___."
"Moja matka w zoo zawsze chce patrzyć na wydry, a ojciec na pingwiny.","Moja matka w zoo zawsze chce patrzyć na wydry, a ojciec ___ na pingwiny."
"Elżbieta i Helena czytają gazetę, a Borys książkę.","Elżbieta i Helena czytają gazetę, a Borys ___ książkę."
"Jako dziecko grałem w baseball, a mój przyjaciel w koszykówkę.","Jako dziecko grałem w baseball, a mój przyjaciel ___ w koszykówkę."
